Emotion,File_Path
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-01-01-01-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-01-01-01-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-01-01-02-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-01-01-02-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-02-01-01-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-02-01-01-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-02-01-02-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-02-01-02-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-02-02-01-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-02-02-01-02-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-02-02-02-01-01.wav
neutral,Dataset/RAVDESS_Demo\Actor_01\03-01-02-02-02-02-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-01-03-01-01-01-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-01-03-01-01-02-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-01-03-01-02-01-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-01-03-01-02-02-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-01-03-02-01-01-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-01-03-02-01-02-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-01-03-02-02-01-01.wav
happy,Dataset/RAVDESS_Demo\Actor_01\03-01-03-02-02-02-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-01-04-01-01-01-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-01-04-01-01-02-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-01-04-01-02-01-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-01-04-01-02-02-01.wav
sad,Dataset/RAVDESS_Demo\Actor_01\03-01-04-02-01-01-01.wav
